County,Median_Household_Income,dropoff_count,income_quartile,population,sites_per_100k,rucc_code,metro_nonmetro,rural_urban_class,county,address_count,coverage_pct
Alger,59406,0,Q2,9069,0.0,7,Nonmetro,Rural,,0,0.0
Crawford,58614,0,Q2,14030,0.0,7,Nonmetro,Rural,,0,0.0
Mackinac,58598,1,Q2,10799,9.26,8,Nonmetro,Rural,,0,0.0
Calhoun,60385,4,Q2,134159,2.98,3,Metro,Urban/Metro,Calhoun,7,0.0
Presque Isle,56713,0,Q1_lowest,12592,0.0,7,Nonmetro,Rural,,0,0.0
Mecosta,57774,0,Q2,43240,0.0,6,Nonmetro,Suburban/Small City,,0,0.0
Tuscola,62847,1,Q3,52245,1.91,3,Metro,Urban/Metro,,0,0.0
Manistee,60879,0,Q2,24397,0.0,6,Nonmetro,Suburban/Small City,Manistee,2,0.0
Gratiot,61128,1,Q2,40347,2.48,6,Nonmetro,Suburban/Small City,,0,0.0
Cheboygan,61619,0,Q2,26152,0.0,6,Nonmetro,Suburban/Small City,,0,0.0
Missaukee,61868,0,Q2,15453,0.0,7,Nonmetro,Rural,,0,0.0
Dickinson,61882,1,Q3,25554,3.91,6,Nonmetro,Suburban/Small City,,0,0.0
Chippewa,60631,0,Q2,37354,0.0,6,Nonmetro,Suburban/Small City,,0,0.0
Schoolcraft,57708,0,Q2,7989,0.0,8,Nonmetro,Rural,,0,0.0
Cass,68011,0,Q3,51547,0.0,3,Metro,Urban/Metro,Cass,3,0.0
Otsego,67285,2,Q3,24397,8.2,6,Nonmetro,Suburban/Small City,Otsego,1,0.0
Ionia,73436,1,Q4_highest,64697,1.55,3,Metro,Urban/Metro,Ionia,3,0.0
Charlevoix,76495,1,Q4_highest,26856,3.72,6,Nonmetro,Suburban/Small City,Charlevoix,2,0.0
Lapeer,76228,1,Q4_highest,89843,1.11,1,Metro,Urban/Metro,,0,0.0
Clinton,85928,1,Q4_highest,79594,1.26,1,Metro,Urban/Metro,Clinton,3,0.0
